Freq.	V(out)/(V(inP)-V(inN))	V(out)/V(out1)	V(out1)/(V(inP)-V(inN))
2.51188643150956e+07	(1.37696329499542e+01dB,-9.34659859015729e+01°)	(2.18935635213331e+01dB,1.56726541793850e+02°)	(-8.12393057137890e+00dB,1.09807472304577e+02°)
2.81838293126443e+07	(1.27334162527240e+01dB,-9.38071248264220e+01°)	(2.16988041151233e+01dB,1.56407156466612e+02°)	(-8.96538786239929e+00dB,1.09785718706966e+02°)
3.16227766016836e+07	(1.16940219151529e+01dB,-9.41631149498660e+01°)	(2.15160211221775e+01dB,1.55947021090448e+02°)	(-9.82199920702465e+00dB,1.09889863959686e+02°)
3.54813389233573e+07	(1.06506499697196e+01dB,-9.45358539021768e+01°)	(2.13407853854631e+01dB,1.55315833837711e+02°)	(-1.06901354157434e+01dB,1.10148312260112e+02°)
3.98107170553494e+07	(9.60235936545311e+00dB,-9.49258287927738e+01°)	(2.11679653000156e+01dB,1.54489685604007e+02°)	(-1.15656059345625e+01dB,1.10584485603219e+02°)
4.46683592150960e+07	(8.54809639384005e+00dB,-9.53317290570985e+01°)	(2.09919214070396e+01dB,1.53451266456607e+02°)	(-1.24438250131996e+01dB,1.11217004486294e+02°)
5.01187233627268e+07	(7.48673581489732e+00dB,-9.57499787704476e+01°)	(2.08066647155824e+01dB,1.52190011946493e+02°)	(-1.33199289006851e+01dB,1.12060009283059e+02°)
5.62341325190345e+07	(6.41714742877554e+00dB,-9.61741682719065e+01°)	(2.06059994353352e+01dB,1.50702321067812e+02°)	(-1.41888520065597e+01dB,1.13123510660281e+02°)
6.30957344480188e+07	(5.33830567517016e+00dB,-9.65944153227045e+01°)	(2.03836766312538e+01dB,1.48991872848100e+02°)	(-1.50453709560836e+01dB,1.14413711829195e+02°)
7.07945784384132e+07	(4.24946061450854e+00dB,-9.69967574033220e+01°)	(2.01335833775449e+01dB,1.47069959830048e+02°)	(-1.58841227630364e+01dB,1.15933282766630e+02°)
7.94328234724275e+07	(3.15038391748252e+00dB,-9.73627577886434e+01°)	(1.98499824333758e+01dB,1.44955661406155e+02°)	(-1.66995985158933e+01dB,1.17681580805202e+02°)
